date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2010/12/17,72,75,71.6,72.9,1.7,2.39,111499.233,9433,39297,3420,555,-2704,67.135,72.98111837,61.28888163
2010/12/20,73,73,70.9,71.2,-1.7,-2.33,93319.672,8086,42025,660,-338,-19088,67.505,73.39651084,61.61348916
2010/12/21,71.5,71.6,70.8,71.3,0.1,0.14,63310.149,7721,42417,550,-1161,-4983,67.9,73.69620566,62.10379434
2010/12/22,71.1,71.6,70.7,71.2,-0.1,-0.14,27073.2,7304,42370,453,629,553,68.3,73.84220173,62.75779827
2010/12/23,71.8,71.8,70.7,71,-0.2,-0.28,35614.804,7227,43042,46,-8,-10555,68.63,73.98690209,63.27309791
2010/12/24,71,71,70.5,70.8,-0.2,-0.28,56586.878,7163,41386,-6,-42,-822,68.95,74.0145829,63.8854171
2010/12/27,70.8,70.8,70,70.7,-0.1,-0.14,45211.396,6947,39869,473,630,-10143,69.27,73.90987069,64.63012931
2010/12/28,70.9,71,70.6,70.9,0.2,0.28,36610.483,6882,40309,341,-746,-14583,69.645,73.46676661,65.82323339
2010/12/29,70.8,70.8,70.2,70.6,-0.3,-0.42,40414.979,6653,40422,728,-381,-19505,69.945,73.00079777,66.88920223
2010/12/30,70.6,70.8,70.1,70.6,0,0,55579.081,6525,40179,20,43,-10237,70.165,72.6997781,67.6302219
2010/12/31,70.5,72.3,70.3,71,0.4,0.57,143761.763,6409,46808,2565,4486,-36099,70.3,72.70748832,67.89251168
2011/1/3,71.5,71.6,70.8,71.1,0.1,0.14,35747.205,6383,45758,1664,-509,-1071,70.43,72.71219193,68.14780807
2011/1/4,71,71.6,70.8,71.2,0.1,0.14,36048.199,6360,45186,5388,1282,-6742,70.59,72.60087046,68.57912954
2011/1/5,70.9,71.1,69.6,69.8,-1.4,-1.97,54327.088,6486,45188,900,57,-17130,70.68,72.3516459,69.0083541
2011/1/6,69.8,71,69.7,71,1.2,1.72,46802.332,6321,44915,82,-1386,-2233,70.73,72.37693655,69.08306345
2011/1/7,71.9,73,71.9,72.5,1.5,2.11,170328.819,7027,39257,4470,-2386,37868,70.87,72.61596678,69.12403322
2011/1/10,73,74.2,72.6,74.2,1.7,2.34,69703.894,7528,37450,3679,-1286,30747,71.11,73.25560015,68.96439985
2011/1/11,74.1,74.9,73.8,74.5,0.3,0.4,82758.806,7981,35311,4235,-106,33780,71.385,73.7743723,68.9956277
2011/1/12,74.7,75,74.7,74.9,0.4,0.54,53637.687,8265,33883,2444,-804,27130,71.63,74.37889069,68.88110931
2011/1/13,75.1,75.3,74.2,74.6,-0.3,-0.4,93105.337,8382,33023,5814,-1948,-3493,71.8,74.82787054,68.77212946
2011/1/14,74.4,74.8,74.1,74.8,0.2,0.27,29817.293,8355,31483,1623,-213,8873,71.895,75.16454125,68.62545875
2011/1/17,75.4,75.9,75.3,75.8,1,1.34,67400.276,8504,32070,1061,868,22675,72.125,75.78990109,68.46009891
2011/1/18,75.5,77.4,75.2,76.8,1,1.32,57357.186,8807,33037,-22,928,24741,72.4,76.56701332,68.23298668
